method,property,alpha,latent_displacement,requested_candidates,valid_candidates,valid_fraction,distinct_canonical_structures,median_sa_score,median_delta_sa_vs_seed,median_np_likeness,median_delta_np_vs_seed,median_np_fragment_confidence,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),FractionCSP3,-59.09090909090909,59.09090909090909,50,50,1.0,50,4.931559061789411,2.586525209039887,0.7423361025798995,1.5877942926250603,0.7142857142857143,0.02,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,-56.06060606060606,56.06060606060606,50,50,1.0,50,4.9417414802982425,2.514272215955281,0.7118124816388599,1.5987443335174696,0.7177083333333334,0.02,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,-53.03030303030303,53.03030303030303,50,50,1.0,50,4.780222731837097,2.3812722833588356,0.910544431678309,1.6101549555224888,0.7263814616755793,0.04,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,-50.0,50.0,50,50,1.0,50,4.761969238943823,2.2201893187429977,0.810758514978791,1.633853748708322,0.7272727272727273,0.06,0.92
MolecuLA raw OLS (seed-excluded),FractionCSP3,-46.96969696969697,46.96969696969697,50,50,1.0,50,4.613131436709152,2.1588878761852857,0.6234333111881769,1.5952948305135437,0.7427626137303557,0.04,0.92
MolecuLA raw OLS (seed-excluded),FractionCSP3,-43.93939393939394,43.93939393939394,50,50,1.0,50,4.753417161477814,2.3265953048552896,0.48741039839551403,1.4612238211776931,0.7483262325015216,0.04081632653061224,0.9387755102040817
MolecuLA raw OLS (seed-excluded),FractionCSP3,-40.90909090909091,40.90909090909091,50,50,1.0,50,4.784163090559208,2.2716450559941412,0.39852347614519595,1.3615395001904853,0.7579555054914109,0.02040816326530612,0.9183673469387755
MolecuLA raw OLS (seed-excluded),FractionCSP3,-37.87878787878788,37.87878787878788,50,50,1.0,50,4.630823956057808,2.090048726130993,0.46018719935919894,1.430788617273521,0.7847490347490347,0.02040816326530612,0.9183673469387755
MolecuLA raw OLS (seed-excluded),FractionCSP3,-34.848484848484844,34.848484848484844,50,50,1.0,50,4.461688659519698,1.8867193230925277,0.3516350492130259,1.4096096099858852,0.7911622276029056,0.020833333333333332,0.875
MolecuLA raw OLS (seed-excluded),FractionCSP3,-31.818181818181813,31.818181818181813,50,50,1.0,50,3.6756868984841695,1.2487429453214824,-0.028478229694450706,0.9633695939035001,0.826376811594203,0.06666666666666667,0.7777777777777778
MolecuLA raw OLS (seed-excluded),FractionCSP3,-28.787878787878785,28.787878787878785,50,50,1.0,50,3.3005205297463043,1.1009462313427107,-0.18177499103886702,0.8185426169437028,0.8669319186560566,0.1111111111111111,0.8055555555555556
MolecuLA raw OLS (seed-excluded),FractionCSP3,-25.757575757575765,25.757575757575765,50,50,1.0,50,2.930681887133864,0.874626618543088,-0.42994548152534395,0.47684990256482784,0.9039938556067588,0.125,0.78125
MolecuLA raw OLS (seed-excluded),FractionCSP3,-22.727272727272734,22.727272727272734,50,50,1.0,50,2.5967537996466152,0.7206782099497828,-0.5374005072831356,0.7108942521099235,0.927050997782705,0.1,0.9
MolecuLA raw OLS (seed-excluded),FractionCSP3,-19.69696969696969,19.69696969696969,50,50,1.0,50,2.5680445297483745,1.3778524220315425,-0.5152294988761329,0.975652517285648,0.9545454545454546,0.0,1.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-16.666666666666657,16.666666666666657,50,50,1.0,50,2.4661114655710445,1.4448394889284915,-0.6081236832792594,1.0247669566374045,0.9648148148148148,0.0,1.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-13.636363636363626,13.636363636363626,50,50,1.0,50,2.4512319297902634,0.7209070887917237,-0.8399808981387062,0.7179218472513167,0.9696691176470589,0.25,1.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-10.606060606060597,10.606060606060597,50,50,1.0,50,2.4512319297902634,1.7853974261386134,-0.8399808981387062,1.0782576691563592,0.9696691176470589,0.0,1.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-7.575757575757564,7.575757575757564,50,50,1.0,50,2.4512319297902634,1.7694617975084284,-0.8399808981387062,1.0303178826153496,0.9696691176470589,0.0,1.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,-4.545454545454561,4.545454545454561,50,50,1.0,50,2.4512319297902634,1.7694617975084284,-0.8399808981387062,1.0303178826153496,0.9696691176470589,0.0,1.0
