method,property,objective,seed_similarity_cutoff,quality_rule,seeds,successful_seeds,success_fraction,median_best_improvement,median_selected_similarity,median_selected_delta_sa,median_selected_delta_np,median_selected_np_confidence,selected_scaffold_retention
ChemSpacE extreme-SVM,HBA,maximize,0.4,np_nondecreasing,50,2,0.04,1.0,0.662004662004662,0.5502215524000795,0.5544354276342087,0.9112903225806452,1.0
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.4,np_nondecreasing,50,26,0.52,2.0,0.5070422535211268,1.1251990640572016,0.5094410948467214,0.8618181818181818,0.38461538461538464
ChemSpacE extreme-SVM,HBA,maximize,0.6,np_nondecreasing,50,2,0.04,1.0,0.662004662004662,0.5502215524000795,0.5544354276342087,0.9112903225806452,1.0
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.6,np_nondecreasing,50,8,0.16,1.5,0.6695402298850575,0.5998706609909839,0.44409921453705653,0.916896551724138,0.75
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.0,np_nondecreasing,50,49,0.98,128.0,0.0547945205479452,5.164316756196763,1.0195138434638262,0.5238095238095238,0.0
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,maximize,0.0,np_nondecreasing,50,49,0.98,99.0,0.0643564356435643,5.649011437436049,1.4679680872987875,0.6556291390728477,0.0
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.2,np_nondecreasing,50,32,0.64,7.0,0.31935307017543857,1.6144275922738052,0.6657436430196162,0.8431372549019608,0.25
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,maximize,0.2,np_nondecreasing,50,42,0.84,8.0,0.3069349315068493,2.3931073990718548,0.9001426793668947,0.7973828258638385,0.14634146341463414
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.4,np_nondecreasing,50,19,0.38,5.0,0.5471698113207547,1.0687930114477942,0.5459020244712356,0.8833333333333333,0.5789473684210527
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,maximize,0.4,np_nondecreasing,50,27,0.54,6.0,0.4657534246575342,1.195048534720991,0.5883804734373944,0.8636363636363636,0.37037037037037035
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.6,np_nondecreasing,50,6,0.12,2.0,0.6387571157495255,0.676941456373024,0.48098757916679835,0.9388266509433962,1.0
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,maximize,0.6,np_nondecreasing,50,9,0.18,3.0,0.6470588235294118,0.655386348597748,0.3974861305155927,0.9245283018867925,0.8888888888888888
ChemSpacE extreme-SVM,TPSA,maximize,0.0,np_nondecreasing,50,49,0.98,1720.289999999998,0.034090909090909,5.826373485385359,0.9675424304097385,0.2857142857142857,0.0
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.0,np_nondecreasing,50,49,0.98,221.33,0.0744680851063829,3.3801515768951527,1.142621140324815,0.6164383561643836,0.0
ChemSpacE extreme-SVM,TPSA,maximize,0.2,np_nondecreasing,50,28,0.56,50.54499999999998,0.30780843310775635,1.4079582620650335,0.7734876444765224,0.8334174022698613,0.15384615384615385
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.2,np_nondecreasing,50,44,0.88,56.45,0.2725738396624472,1.4669577011460757,0.7292933139880234,0.807769816390506,0.19047619047619047
ChemSpacE extreme-SVM,TPSA,maximize,0.4,np_nondecreasing,50,7,0.14,62.13,0.5689655172413793,1.0855517020852252,0.33001135618399313,0.8888888888888888,0.5714285714285714
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.4,np_nondecreasing,50,28,0.56,38.275000000000006,0.48740740740740734,0.9804773797727884,0.44332260123638845,0.8821589725789656,0.42857142857142855
ChemSpacE extreme-SVM,TPSA,maximize,0.6,np_nondecreasing,50,2,0.04,13.149999999999999,0.6848484848484848,0.7285642585561942,0.21284469733706118,0.8735544735240415,1.0
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.6,np_nondecreasing,50,13,0.26,20.819999999999997,0.6557377049180327,0.5727878907138351,0.25149401463528337,0.9215686274509803,0.6153846153846154
ChemSpacE extreme-SVM,cLogP,maximize,0.0,np_nondecreasing,50,50,1.0,56.45401999999959,0.0363636363636363,2.310217779305785,1.0393109509547935,1.0,0.0
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.0,np_nondecreasing,50,50,1.0,44.25398999999983,0.05034974883808265,3.946677302257867,1.433756058383201,0.8297101449275363,0.0
ChemSpacE extreme-SVM,cLogP,maximize,0.2,np_nondecreasing,50,26,0.52,1.7493500000000015,0.2928571428571428,0.9701081504309208,0.9052352729655796,0.8714023270055113,0.23076923076923078
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.2,np_nondecreasing,50,39,0.78,2.0794000000000032,0.2682926829268293,1.6828547045639564,0.9228801931376841,0.8412698412698413,0.1282051282051282
ChemSpacE extreme-SVM,cLogP,maximize,0.4,np_nondecreasing,50,12,0.24,0.9176500000000014,0.46290491118077315,0.5450048174031901,0.4660531604054367,0.9090909090909091,0.5
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.4,np_nondecreasing,50,26,0.52,1.3242500000000015,0.5371752349364289,0.8241624705743287,0.3989172210219863,0.893730407523511,0.5
ChemSpacE extreme-SVM,cLogP,maximize,0.6,np_nondecreasing,50,3,0.06,0.4121000000000006,0.6326530612244898,0.43139402732706245,0.2797852661687952,0.9090909090909091,0.6666666666666666
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.6,np_nondecreasing,50,11,0.22,0.7093000000000016,0.6451612903225806,0.7232254248804946,0.3974861305155927,0.9090909090909091,0.8181818181818182
ChemSpacE extreme-SVM,BertzCT,maximize,0.0,sa_and_np,50,7,0.14,281.2040383891361,0.0606060606060606,-0.4735688459661027,1.3502897380835581,1.0,
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.0,sa_and_np,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,BertzCT,maximize,0.2,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.2,sa_and_np,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,BertzCT,maximize,0.4,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.4,sa_and_np,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,BertzCT,maximize,0.6,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),BertzCT,maximize,0.6,sa_and_np,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.0,sa_and_np,50,10,0.2,0.7214285714285715,0.044127086007702154,-0.4221835010632793,1.3021370414405904,1.0,
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.0,sa_and_np,50,4,0.08,0.6794871794871795,0.0591026747195858,-0.32171227447265593,1.6007029619469164,1.0,0.0
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.2,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.2,sa_and_np,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.4,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.4,sa_and_np,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,FractionCSP3,maximize,0.6,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),FractionCSP3,maximize,0.6,sa_and_np,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,HBA,maximize,0.0,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.0,sa_and_np,50,1,0.02,16.0,0.0975609756097561,-0.7506212809443227,0.8671075792152063,0.6236559139784946,0.0
ChemSpacE extreme-SVM,HBA,maximize,0.2,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.2,sa_and_np,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,HBA,maximize,0.4,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.4,sa_and_np,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,HBA,maximize,0.6,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),HBA,maximize,0.6,sa_and_np,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.0,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,maximize,0.0,sa_and_np,50,1,0.02,72.0,0.0555555555555555,-1.435666696050756,3.4510970111870076,0.5377358490566038,0.0
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.2,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,maximize,0.2,sa_and_np,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.4,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,maximize,0.4,sa_and_np,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,HeavyAtomCount,maximize,0.6,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),HeavyAtomCount,maximize,0.6,sa_and_np,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,TPSA,maximize,0.0,sa_and_np,50,2,0.04,18.28,0.3244514106583072,-0.36114939954973924,0.6375524832364736,0.9615384615384616,0.0
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.0,sa_and_np,50,3,0.06,17.07,0.5362318840579711,-0.016311159263272756,0.07568411096909693,0.9811320754716981,0.3333333333333333
ChemSpacE extreme-SVM,TPSA,maximize,0.2,sa_and_np,50,1,0.02,9.23,0.5454545454545454,-0.21090407239818632,0.5441669316636111,1.0,0.0
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.2,sa_and_np,50,3,0.06,17.07,0.5362318840579711,-0.016311159263272756,0.07568411096909693,0.9811320754716981,0.3333333333333333
ChemSpacE extreme-SVM,TPSA,maximize,0.4,sa_and_np,50,1,0.02,9.23,0.5454545454545454,-0.21090407239818632,0.5441669316636111,1.0,0.0
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.4,sa_and_np,50,3,0.06,17.07,0.5362318840579711,-0.016311159263272756,0.07568411096909693,0.9811320754716981,0.3333333333333333
ChemSpacE extreme-SVM,TPSA,maximize,0.6,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),TPSA,maximize,0.6,sa_and_np,50,1,0.02,43.09,0.6304347826086957,-0.016311159263272756,0.11550225765575772,0.9487179487179487,1.0
ChemSpacE extreme-SVM,cLogP,maximize,0.0,sa_and_np,50,5,0.1,0.439,0.0666666666666666,-0.23070490040748304,1.0061262998430913,0.9230769230769231,0.0
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.0,sa_and_np,50,7,0.14,3.575500000000005,0.0588235294117647,-0.4494486606366106,1.7773622851637991,0.9473684210526315,0.0
ChemSpacE extreme-SVM,cLogP,maximize,0.2,sa_and_np,50,1,0.02,1.7901000000000025,0.25,-0.04238990137680965,1.0061262998430913,1.0,0.0
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.2,sa_and_np,50,1,0.02,1.297480000000002,0.22,-0.4052548127331157,1.036396303044112,1.0,0.0
ChemSpacE extreme-SVM,cLogP,maximize,0.4,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.4,sa_and_np,50,0,0.0,,,,,,
ChemSpacE extreme-SVM,cLogP,maximize,0.6,sa_and_np,50,0,0.0,,,,,,
MolecuLA raw OLS (seed-excluded),cLogP,maximize,0.6,sa_and_np,50,0,0.0,,,,,,
