method,property,seed_id,requested_transitions,evaluable_transitions,structure_changed_transitions,structure_changed_fraction_evaluable,median_adjacent_tanimoto,q25_adjacent_tanimoto,p05_adjacent_tanimoto,median_absolute_sa_step_changed,p95_absolute_sa_step_changed,median_absolute_np_step_changed,p95_absolute_np_step_changed,median_absolute_property_step_changed,p95_absolute_property_step_changed
ChemSpacE extreme-SVM,HBA,26,99,99,33,0.3333333333333333,1.0,0.8492647058823529,0.10344827586206896,0.4199767993544148,2.4766636475105894,0.07676094834970834,1.3243599992589,0.0,16.19999999999999
ChemSpacE extreme-SVM,HBA,27,99,99,35,0.35353535353535354,1.0,0.5961538461538461,0.13663793103448277,0.32980715225159507,2.680201999329737,0.09131972871558075,1.4220976560158345,0.0,10.599999999999994
ChemSpacE extreme-SVM,HBA,28,99,99,37,0.37373737373737376,1.0,0.8708333333333333,0.2640615835777126,0.10089756157692875,1.7249927429120713,0.01275164473338708,0.8245576373833825,0.0,15.199999999999996
ChemSpacE extreme-SVM,HBA,29,99,99,44,0.4444444444444444,1.0,0.7285714285714286,0.10473289597000938,0.18493337217520356,1.5555994929064105,0.013091778067056602,1.5594935363166245,0.0,20.350000000000016
ChemSpacE extreme-SVM,HBA,30,99,96,34,0.3541666666666667,1.0,0.6443376068376069,0.11283783783783784,0.3770453558997966,2.1571184111180157,0.1267751551130685,1.35560670880993,0.5,13.349999999999998
ChemSpacE extreme-SVM,HBA,31,99,99,57,0.5757575757575758,1.0,0.7795542635658914,0.14401544401544403,0.05023475408250633,1.762101633756938,0.00366410019764935,0.787994288252102,0.0,9.399999999999991
ChemSpacE extreme-SVM,HBA,32,99,99,32,0.32323232323232326,1.0,0.8819444444444444,0.1400656814449918,0.2925746267609002,3.8684517364374713,0.038732147091767144,0.5643953115884411,0.0,41.0
ChemSpacE extreme-SVM,HBA,33,99,99,56,0.5656565656565656,1.0,0.7746031746031746,0.1633456904541242,0.030402400075748126,2.67085400371354,0.0012395857898460372,0.8853367963253913,0.0,23.0
ChemSpacE extreme-SVM,HBA,34,99,99,40,0.40404040404040403,1.0,0.5764767932489452,0.16403810835629018,0.37656681972340644,1.445633400440513,0.11667651808741791,0.8303087299208005,0.0,15.099999999999994
ChemSpacE extreme-SVM,HBA,35,99,99,31,0.31313131313131315,1.0,0.5857699805068226,0.1,0.4199767993544148,2.8314768358687763,0.19978113083789223,1.6206291753107696,0.0,18.5
ChemSpacE extreme-SVM,HBA,36,99,99,40,0.40404040404040403,1.0,0.5438746438746438,0.08492753623188407,0.2569907657107722,2.271494850848977,0.2201233825818071,1.1279223434672974,0.0,11.049999999999997
ChemSpacE extreme-SVM,HBA,37,99,99,35,0.35353535353535354,1.0,0.5610766045548654,0.14047619047619048,0.36879464427313735,2.50708569006616,0.20337913065043223,1.2032816829182504,0.0,13.399999999999977
