method,property,seed_id,requested_candidates,valid_candidates,distinct_canonical_structures,median_sa_score,median_np_likeness,median_np_fragment_confidence,valid_changed_candidates,median_delta_sa_vs_seed,median_delta_np_vs_seed,median_delta_np_confidence_vs_seed,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed,sa_and_np_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),BertzCT,2,100,100,37,3.119323046467981,0.29390678228930767,0.6595744680851063,82,1.072586365047405,2.3939606150283996,-0.28223815985010015,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,3,100,100,57,4.2805305413519115,0.4786285547801,0.7368421052631579,90,0.8185743636949354,0.37947428110780057,-0.22605965463108324,0.3888888888888889,0.8666666666666667,0.34444444444444444
MolecuLA raw OLS (seed-excluded),BertzCT,4,100,100,48,2.701044842026315,0.1995151209735616,0.7777777777777778,88,0.972607421321539,1.2664120361855131,-0.2647058823529411,0.056818181818181816,0.9772727272727273,0.03409090909090909
MolecuLA raw OLS (seed-excluded),BertzCT,5,100,100,68,4.614610994771131,0.3487178891717542,0.6899038461538461,97,1.671454771274834,2.157755959406358,-0.28308823529411764,0.27835051546391754,0.9690721649484536,0.24742268041237114
MolecuLA raw OLS (seed-excluded),BertzCT,6,100,100,62,4.840804638137083,0.20379130562967523,0.7200854700854701,97,1.213508666002764,1.5304276202291438,-0.24524647887323936,0.35051546391752575,1.0,0.35051546391752575
MolecuLA raw OLS (seed-excluded),BertzCT,7,100,100,42,3.5581949713630836,0.4154837128922114,0.7007462686567164,85,1.4733372355064898,0.8681709087542455,-0.29487179487179493,0.11764705882352941,0.9647058823529412,0.11764705882352941
MolecuLA raw OLS (seed-excluded),BertzCT,8,100,100,62,3.5553370594266602,0.5975523317007333,0.8333333333333334,93,1.7501043617499308,0.8121929382128893,-0.14444444444444438,0.26881720430107525,0.9032258064516129,0.17204301075268819
MolecuLA raw OLS (seed-excluded),BertzCT,9,100,100,45,2.600642260708536,0.22442175084316118,0.8333333333333334,79,0.7939092610382144,1.659695212762783,-0.21666666666666667,0.46835443037974683,1.0,0.46835443037974683
MolecuLA raw OLS (seed-excluded),BertzCT,10,100,100,49,3.2674192614476096,0.5594880583465054,0.8333333333333334,85,0.64892285159062,1.8555439561931575,-0.14912280701754377,0.3176470588235294,1.0,0.3176470588235294
MolecuLA raw OLS (seed-excluded),BertzCT,11,100,100,38,2.7475679189493913,0.13569885768030004,0.8076923076923077,86,1.2826297874802006,1.701651965019758,-0.15516767715043578,0.32558139534883723,1.0,0.32558139534883723
