scale,property,seed_id,alpha,is_rdkit_valid_ols,changed_from_seed_ols,property_delta_ols,expected_signed_improvement_ols,seed_similarity_tanimoto_ols,scaffold_evaluable_ols,scaffold_retained_ols,sa_score_delta_ols,np_likeness_delta_ols,selfies_len_tokens_ols,is_rdkit_valid_chemspace,changed_from_seed_chemspace,property_delta_chemspace,expected_signed_improvement_chemspace,seed_similarity_tanimoto_chemspace,scaffold_evaluable_chemspace,scaffold_retained_chemspace,sa_score_delta_chemspace,np_likeness_delta_chemspace,selfies_len_tokens_chemspace,alpha_sign,absolute_latent_displacement,improvement_difference_chemspace_minus_ols,sa_delta_difference_chemspace_minus_ols,similarity_difference_chemspace_minus_ols
native_l2,FractionCSP3,1,135.0,True,True,0.8063063063063064,0.8063063063063064,0.0481927710843373,True,False,2.424939110535737,2.1285234236461914,53.0,True,True,0.8333333333333334,0.8333333333333334,0.05,False,,2.6057696774553945,1.2309596101761895,154.0,positive,135.0,0.027027027027026973,0.18083056691965727,0.0018072289156626994
native_l2,FractionCSP3,1,150.0,True,True,0.7868217054263567,0.7868217054263567,0.044776119402985,False,,1.734496558697363,1.8518375728299972,54.0,True,True,0.8333333333333334,0.8333333333333334,0.05,False,,2.6057696774553945,1.2309596101761895,154.0,positive,150.0,0.046511627906976716,0.8712731187580314,0.005223880597015
native_l2,FractionCSP3,2,-150.0,True,True,-0.2857142857142857,0.2857142857142857,0.0526315789473684,True,False,4.183335249758378,2.1000204550512445,59.0,True,True,-0.2857142857142857,0.2857142857142857,0.0,False,,5.997213037740032,1.777904891329057,154.0,negative,150.0,0.0,1.8138777879816539,-0.0526315789473684
native_l2,FractionCSP3,2,-135.0,True,True,-0.2142857142857142,0.2142857142857142,0.0909090909090909,True,False,3.652594266922693,2.712155214024527,47.0,True,True,-0.2857142857142857,0.2857142857142857,0.0,False,,5.537018792845703,1.7885615335862453,154.0,negative,135.0,0.07142857142857151,1.8844245259230097,-0.0909090909090909
native_l2,FractionCSP3,2,-120.0,True,True,-0.1948051948051948,0.1948051948051948,0.0727272727272727,True,False,4.279416398291647,2.229946702746178,39.0,True,True,-0.2857142857142857,0.2857142857142857,0.0,False,,5.537018792845703,1.7885615335862453,154.0,negative,120.0,0.09090909090909091,1.2576023945540555,-0.0727272727272727
native_l2,FractionCSP3,2,-105.0,True,True,-0.219047619047619,0.219047619047619,0.0508474576271186,True,False,4.11535720606093,2.6007190653939025,35.0,True,True,-0.2857142857142857,0.2857142857142857,0.0,False,,5.371631330739204,1.8034294953733263,154.0,negative,105.0,0.06666666666666671,1.2562741246782743,-0.0508474576271186
native_l2,FractionCSP3,2,-90.0,True,True,-0.1428571428571428,0.1428571428571428,0.087719298245614,True,False,2.6353992690798504,2.232442560813228,33.0,True,True,-0.2857142857142857,0.2857142857142857,0.0,False,,5.371631330739204,1.8034294953733263,154.0,negative,90.0,0.1428571428571429,2.7362320616593534,-0.087719298245614
native_l2,FractionCSP3,2,-75.0,True,True,-0.1318681318681318,0.1318681318681318,0.0892857142857142,True,False,3.970628299911711,2.699030860290974,26.0,True,True,-0.2857142857142857,0.2857142857142857,0.0,False,,5.371631330739204,1.8034294953733263,154.0,negative,75.0,0.1538461538461539,1.4010030308274928,-0.0892857142857142
native_l2,FractionCSP3,2,-60.0,True,True,0.021978021978022,-0.021978021978022,0.0925925925925925,True,False,3.896896097407284,3.654347856109088,24.0,True,True,-0.2857142857142857,0.2857142857142857,0.0,False,,5.371631330739204,1.8034294953733263,154.0,negative,60.0,0.3076923076923077,1.47473523333192,-0.0925925925925925
native_l2,FractionCSP3,2,-45.0,True,True,-0.0549450549450549,0.0549450549450549,0.0769230769230769,True,False,3.1263968418383783,3.6076577014331175,21.0,True,True,-0.2857142857142857,0.2857142857142857,0.0,False,,5.371631330739204,1.8034294953733263,154.0,negative,45.0,0.23076923076923078,2.2452344889008256,-0.0769230769230769
