scale,property,seed_id,alpha_sign,similarity_rank,ols_alpha,chemspace_alpha,ols_seed_similarity,chemspace_seed_similarity,absolute_similarity_gap,ols_expected_improvement,chemspace_expected_improvement
native_l2,FractionCSP3,5,positive,3,105.0,120.0,0.10256410256410256,0.04225352112676056,0.060310581437342,0.5934065934065935,0.6190476190476191
native_l2,FractionCSP3,5,positive,4,90.0,105.0,0.088,0.04225352112676056,0.04574647887323943,0.5602240896358543,0.6190476190476191
native_l2,FractionCSP3,5,positive,5,60.0,90.0,0.08196721311475409,0.04225352112676056,0.03971369198799353,0.5845648604269296,0.6190476190476191
native_l2,FractionCSP3,5,positive,6,120.0,75.0,0.072,0.04225352112676056,0.029746478873239432,0.5891968727789625,0.6190476190476191
native_l2,FractionCSP3,5,positive,7,45.0,60.0,0.07142857142857142,0.04225352112676056,0.029175050301810862,0.4940476190476191,0.6190476190476191
native_l2,FractionCSP3,5,positive,8,75.0,45.0,0.06060606060606061,0.04225352112676056,0.018352539479300045,0.5887445887445888,0.6190476190476191
native_l2,FractionCSP3,5,positive,9,150.0,30.0,0.05319148936170213,0.04225352112676056,0.010937968234941566,0.5845648604269296,0.6190476190476191
native_l2,FractionCSP3,6,negative,0,-15.0,-15.0,0.38235294117647056,0.05511811023622047,0.3272348309402501,0.01904761904761909,0.4
native_l2,FractionCSP3,6,negative,1,-30.0,-135.0,0.23893805309734514,0.026785714285714284,0.21215233881163087,-0.0,0.4
native_l2,FractionCSP3,6,negative,2,-60.0,-150.0,0.0873015873015873,0.02666666666666667,0.060634920634920625,0.3130434782608696,0.4
native_l2,FractionCSP3,6,negative,3,-90.0,-120.0,0.07692307692307693,0.017241379310344827,0.0596816976127321,0.22608695652173916,0.4
native_l2,FractionCSP3,6,negative,4,-45.0,-30.0,0.07518796992481203,0.011494252873563218,0.06369371705124881,0.13913043478260873,0.4
native_l2,FractionCSP3,6,negative,5,-105.0,-105.0,0.07352941176470588,0.00980392156862745,0.06372549019607843,0.17272727272727276,0.4
native_l2,FractionCSP3,6,negative,6,-120.0,-90.0,0.061068702290076333,0.0,0.061068702290076333,0.2181818181818182,0.4
native_l2,FractionCSP3,6,negative,7,-135.0,-75.0,0.046153846153846156,0.0,0.046153846153846156,0.3047619047619048,0.4
native_l2,FractionCSP3,6,negative,8,-150.0,-60.0,0.042735042735042736,0.0,0.042735042735042736,0.4,0.4
native_l2,FractionCSP3,6,negative,9,-75.0,-45.0,0.023255813953488372,0.0,0.023255813953488372,0.4,0.4
