method,scale,property,seed_id,requested_points,valid_points,full_path_valid,property_monotonic_either,property_monotonic_expected,structure_distance_monotonic,raw_path_diverse,canonical_path_diverse,ssr_official_code_compatible,ssr_expected_all_valid,rsr_local_official_code_compatible,rsr_global_official_code_compatible,spearman_alpha_property,slope_property_per_alpha,spearman_alpha_sa_score,slope_sa_score_per_alpha,spearman_alpha_np_likeness,slope_np_likeness_per_alpha,expected_sign_fraction_valid_nonzero,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_seed_similarity,scaffold_evaluable_fraction,scaffold_retention_fraction
MolecuLA continuous OLS,train_std_unit,FractionCSP3,15,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.5,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,16,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.5,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,17,21,21,True,True,True,True,True,True,True,True,True,True,0.8174238913695991,0.00026262626262626244,-0.8174238913695991,-0.009993475437315914,-0.8174238913695991,-0.004928105489429146,0.35,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666
MolecuLA continuous OLS,train_std_unit,FractionCSP3,18,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,19,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,20,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,21,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.5,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,22,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,23,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,24,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.5,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,25,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,26,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.5,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,27,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,28,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.5,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,29,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.5,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,30,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.5,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,31,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,32,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,33,21,21,True,True,True,True,False,False,False,False,False,False,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MolecuLA continuous OLS,train_std_unit,FractionCSP3,34,21,21,True,False,False,False,True,True,False,False,False,True,0.38528782420100494,6.074294611844017e-05,0.6200676875273505,0.0017556429149000283,0.5759739853031834,0.0024176081210514535,0.5,1.0,1.0,0.23,1.0,0.0
