method,scale,property,seed_id,confound,spearman_alpha_confound,spearman_abs_alpha_confound,slope_confound_per_alpha,slope_confound_per_abs_alpha
ChemSpacE adapted extreme-SVM,native_l2,cLogP,30,token_entropy,-0.05046825528926824,-0.7864435118677907,-0.0002553731672687605,-0.0115859941438531
ChemSpacE adapted extreme-SVM,native_l2,cLogP,31,selfies_len_tokens,0.043564044015393044,0.6717449578614151,0.021818181818181796,0.6573955773955769
ChemSpacE adapted extreme-SVM,native_l2,cLogP,31,branch_token_count,-0.036960266835718986,-0.6774387026398406,-0.0007792207792207792,-0.04614250614250619
ChemSpacE adapted extreme-SVM,native_l2,cLogP,31,ring_token_count,-0.03598768853445512,-0.6650940176845692,-8.658008658008655e-05,-0.017149877149877167
ChemSpacE adapted extreme-SVM,native_l2,cLogP,31,token_entropy,-0.052096263524405925,-0.7888934916555407,-0.00036926714076175186,-0.010859738040509723
ChemSpacE adapted extreme-SVM,native_l2,cLogP,32,selfies_len_tokens,0.04166995514515856,0.6745953607943489,0.022424242424242357,0.7201801801801794
ChemSpacE adapted extreme-SVM,native_l2,cLogP,32,branch_token_count,-0.0034777875545071043,-0.7431856193131147,-0.0001731601731601732,-0.020409500409500424
ChemSpacE adapted extreme-SVM,native_l2,cLogP,32,ring_token_count,-0.006967752956288104,-0.7278843865382384,-0.0003463203463203463,-0.02014742014742017
ChemSpacE adapted extreme-SVM,native_l2,cLogP,32,token_entropy,-0.006951529993749708,-0.7453687378764667,-0.00016660159485509116,-0.010105370909109547
ChemSpacE adapted extreme-SVM,native_l2,cLogP,33,selfies_len_tokens,0.04166995514515856,0.6745953607943489,0.02493506493506483,0.7433251433251431
ChemSpacE adapted extreme-SVM,native_l2,cLogP,33,branch_token_count,0.0,-0.6039430122310415,0.0,-0.012350532350532366
ChemSpacE adapted extreme-SVM,native_l2,cLogP,33,ring_token_count,-0.034188172937891385,-0.6707500218907013,-2.2678392263569524e-20,-0.008746928746928758
ChemSpacE adapted extreme-SVM,native_l2,cLogP,33,token_entropy,-0.053724271759543606,-0.7864435118677907,-0.0003584539688954691,-0.00974570631124661
ChemSpacE adapted extreme-SVM,native_l2,cLogP,34,selfies_len_tokens,0.06931623127792866,0.5584788535430362,0.02683982683982681,0.4411138411138404
ChemSpacE adapted extreme-SVM,native_l2,cLogP,34,branch_token_count,-0.04166995514515856,-0.6745953607943489,-0.0013852813852813853,-0.04511056511056514
ChemSpacE adapted extreme-SVM,native_l2,cLogP,34,ring_token_count,-0.030305421923751685,-0.6755454951053269,0.0,-0.03636363636363639
ChemSpacE adapted extreme-SVM,native_l2,cLogP,34,token_entropy,-0.05860829646495666,-0.7831768721507905,-0.00043815939727048976,-0.011331856002472841
ChemSpacE adapted extreme-SVM,native_l2,cLogP,35,selfies_len_tokens,0.047352221755862,0.6650940176845692,0.019826839826839724,0.606109746109746
ChemSpacE adapted extreme-SVM,native_l2,cLogP,35,branch_token_count,-0.03598768853445512,-0.6783958980382608,-0.001038961038961039,-0.042194922194922234
ChemSpacE adapted extreme-SVM,native_l2,cLogP,35,ring_token_count,-0.030305421923751685,-0.6755454951053269,0.0002597402597402598,-0.031990171990172026
ChemSpacE adapted extreme-SVM,native_l2,cLogP,35,token_entropy,-0.005213647495312281,-0.7479840667812964,-0.0002604407928335292,-0.010917218140950613
ChemSpacE adapted extreme-SVM,native_l2,cLogP,36,selfies_len_tokens,0.043564044015393044,0.6717449578614151,0.021471861471861434,0.6479606879606872
ChemSpacE adapted extreme-SVM,native_l2,cLogP,36,branch_token_count,-0.039830919403382604,-0.6760047819305053,-0.0007792207792207792,-0.0272727272727273
ChemSpacE adapted extreme-SVM,native_l2,cLogP,36,ring_token_count,-0.07738077308778307,-0.7091665592741342,-0.0016450216450216448,-0.04132678132678135
ChemSpacE adapted extreme-SVM,native_l2,cLogP,36,token_entropy,-0.05860829646495666,-0.7831768721507905,-0.0004308555678402698,-0.011181550474780193
ChemSpacE adapted extreme-SVM,native_l2,cLogP,37,selfies_len_tokens,0.047352221755862,0.6650940176845692,0.021385281385281344,0.6305487305487301
ChemSpacE adapted extreme-SVM,native_l2,cLogP,37,branch_token_count,-0.036960266835718986,-0.6774387026398406,-0.0006926406926406926,-0.028730548730548748
ChemSpacE adapted extreme-SVM,native_l2,cLogP,37,ring_token_count,-0.03219951079398617,-0.6717449578614151,8.658008658008665e-05,-0.0290745290745291
ChemSpacE adapted extreme-SVM,native_l2,cLogP,37,token_entropy,-0.0842873011742152,-0.7148565673201202,-0.000328827473091876,-0.00975157528829941
ChemSpacE adapted extreme-SVM,native_l2,cLogP,38,selfies_len_tokens,0.04166995514515856,0.6745953607943489,0.021038961038960986,0.6514823914823913
ChemSpacE adapted extreme-SVM,native_l2,cLogP,38,branch_token_count,-0.03598768853445512,-0.6783958980382608,-0.00025974025974025974,-0.02504504504504506
ChemSpacE adapted extreme-SVM,native_l2,cLogP,38,ring_token_count,-0.03598768853445512,-0.6650940176845692,-0.0008658008658008659,-0.034299754299754334
ChemSpacE adapted extreme-SVM,native_l2,cLogP,38,token_entropy,-0.053724271759543606,-0.7864435118677907,-0.00040583991481886364,-0.011006781442105219
ChemSpacE adapted extreme-SVM,native_l2,cLogP,39,selfies_len_tokens,0.04166995514515856,0.6745953607943489,0.021904761904761885,0.7103194103194097
ChemSpacE adapted extreme-SVM,native_l2,cLogP,39,branch_token_count,-0.036960266835718986,-0.6774387026398406,-0.00025974025974025974,-0.018525798525798543
ChemSpacE adapted extreme-SVM,native_l2,cLogP,39,ring_token_count,-0.0426464617335219,-0.6603244617310446,-0.0009523809523809525,-0.02160524160524162
ChemSpacE adapted extreme-SVM,native_l2,cLogP,39,token_entropy,-0.006951529993749708,-0.7453687378764667,-0.0002384395039930221,-0.008979668022165236
ChemSpacE adapted extreme-SVM,native_l2,cLogP,40,selfies_len_tokens,0.04166995514515856,0.6745953607943489,0.021731601731601706,0.6903357903357903
ChemSpacE adapted extreme-SVM,native_l2,cLogP,40,branch_token_count,-0.036960266835718986,-0.6774387026398406,-0.00025974025974025974,-0.02324324324324326
ChemSpacE adapted extreme-SVM,native_l2,cLogP,40,ring_token_count,-0.04166995514515856,-0.6612934804406575,-0.0008658008658008661,-0.024864864864864885
ChemSpacE adapted extreme-SVM,native_l2,cLogP,40,token_entropy,-0.006951529993749708,-0.7453687378764667,-0.0002001485985492415,-0.009304681480300375
ChemSpacE adapted extreme-SVM,native_l2,cLogP,41,selfies_len_tokens,0.043564044015393044,0.6717449578614151,0.020952380952380896,0.6392137592137591
ChemSpacE adapted extreme-SVM,native_l2,cLogP,41,branch_token_count,-0.043564044015393044,-0.6717449578614151,-0.0014718614718614716,-0.040049140049140085
ChemSpacE adapted extreme-SVM,native_l2,cLogP,41,ring_token_count,-0.03219951079398617,-0.6717449578614151,0.00017316017316017324,-0.021097461097461117
ChemSpacE adapted extreme-SVM,native_l2,cLogP,41,token_entropy,-0.05698028822981897,-0.7856268519385406,-0.0004146978282099593,-0.010284700698518412
ChemSpacE adapted extreme-SVM,native_l2,cLogP,42,selfies_len_tokens,0.043564044015393044,0.6717449578614151,0.021212121212121095,0.6337264537264531
ChemSpacE adapted extreme-SVM,native_l2,cLogP,42,branch_token_count,-0.04166995514515856,-0.6745953607943489,-0.001038961038961039,-0.03456183456183458
ChemSpacE adapted extreme-SVM,native_l2,cLogP,42,ring_token_count,-0.08085856064229018,-0.702624432343561,-0.0007792207792207792,-0.029238329238329266
ChemSpacE adapted extreme-SVM,native_l2,cLogP,42,token_entropy,-0.05698028822981897,-0.7856268519385406,-0.0004181930361353254,-0.010638554435438787
ChemSpacE adapted extreme-SVM,native_l2,cLogP,43,selfies_len_tokens,0.04166995514515856,0.6745953607943489,0.021558441558441523,0.6797870597870593
ChemSpacE adapted extreme-SVM,native_l2,cLogP,43,branch_token_count,-0.003202015769753031,-0.6055492436465496,-8.658008658008655e-05,-0.02504504504504506
ChemSpacE adapted extreme-SVM,native_l2,cLogP,43,ring_token_count,-0.0426464617335219,-0.6603244617310446,-0.0006926406926406927,-0.017919737919737933
ChemSpacE adapted extreme-SVM,native_l2,cLogP,43,token_entropy,-0.08081153617734035,-0.7157283436217301,-0.00037737873965066146,-0.010329656886964238
ChemSpacE adapted extreme-SVM,native_l2,cLogP,44,selfies_len_tokens,0.048332656631324834,0.6636522307966437,0.020259740259740176,0.5752334152334151
ChemSpacE adapted extreme-SVM,native_l2,cLogP,44,branch_token_count,-0.0842873011742152,-0.7148565673201202,-0.0023376623376623377,-0.06337428337428344
ChemSpacE adapted extreme-SVM,native_l2,cLogP,44,ring_token_count,-0.030305421923751685,-0.6755454951053269,0.0005194805194805195,-0.027616707616707644
ChemSpacE adapted extreme-SVM,native_l2,cLogP,44,token_entropy,-0.05860829646495666,-0.7831768721507905,-0.0004776046255646575,-0.010910107544763632
ChemSpacE adapted extreme-SVM,native_l2,cLogP,45,selfies_len_tokens,0.043564044015393044,0.6717449578614151,0.021038961038960986,0.6330384930384925
ChemSpacE adapted extreme-SVM,native_l2,cLogP,45,branch_token_count,-0.043564044015393044,-0.6717449578614151,-0.001038961038961039,-0.029844389844389863
ChemSpacE adapted extreme-SVM,native_l2,cLogP,45,ring_token_count,-0.030305421923751685,-0.6755454951053269,8.65800865800866e-05,-0.0290745290745291
ChemSpacE adapted extreme-SVM,native_l2,cLogP,45,token_entropy,-0.0842873011742152,-0.7148565673201202,-0.0003308007052564701,-0.010330188230372937
ChemSpacE adapted extreme-SVM,native_l2,cLogP,46,selfies_len_tokens,0.043564044015393044,0.6717449578614151,0.019826839826839724,0.6285831285831284
ChemSpacE adapted extreme-SVM,native_l2,cLogP,46,branch_token_count,-0.036960266835718986,-0.6774387026398406,-0.0007792207792207792,-0.04142506142506146
ChemSpacE adapted extreme-SVM,native_l2,cLogP,46,ring_token_count,-0.03219951079398617,-0.6717449578614151,-0.00025974025974025974,-0.020753480753480776
ChemSpacE adapted extreme-SVM,native_l2,cLogP,46,token_entropy,-0.01216517748906199,-0.741881632670027,-0.0003050326211039019,-0.010084264089945503
ChemSpacE adapted extreme-SVM,native_l2,cLogP,47,selfies_len_tokens,0.047352221755862,0.6650940176845692,0.021212121212121165,0.6170843570843566
