method,scale,property,seed_id,objective,seed_similarity_cutoff,candidate_budget,eligible_valid_changed_candidates,success,best_objective_improvement,selected_alpha,selected_seed_similarity,selected_sa_score_delta
MolecuLA continuous OLS,native_l2,FractionCSP3,14,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,14,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,15,maximize,0.0,21,18,True,0.7788649706457926,150.0,0.0441176470588235,3.4050467425416624
MolecuLA continuous OLS,native_l2,FractionCSP3,15,maximize,0.2,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,15,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,15,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,15,minimize,0.0,21,18,True,0.2142857142857142,-150.0,0.0609756097560975,3.1952373644986025
MolecuLA continuous OLS,native_l2,FractionCSP3,15,minimize,0.2,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,15,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,15,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,16,maximize,0.0,21,18,True,0.9411764705882352,90.0,0.0114942528735632,2.00102315581638
MolecuLA continuous OLS,native_l2,FractionCSP3,16,maximize,0.2,21,1,True,6.938893903907228e-18,-30.0,0.8490566037735849,-0.0222944055944047
MolecuLA continuous OLS,native_l2,FractionCSP3,16,maximize,0.4,21,1,True,6.938893903907228e-18,-30.0,0.8490566037735849,-0.0222944055944047
MolecuLA continuous OLS,native_l2,FractionCSP3,16,maximize,0.6,21,1,True,6.938893903907228e-18,-30.0,0.8490566037735849,-0.0222944055944047
MolecuLA continuous OLS,native_l2,FractionCSP3,16,minimize,0.0,21,18,True,0.0032679738562091,-90.0,0.0638297872340425,3.1123877858704194
MolecuLA continuous OLS,native_l2,FractionCSP3,16,minimize,0.2,21,1,False,-6.938893903907228e-18,-30.0,0.8490566037735849,-0.0222944055944047
MolecuLA continuous OLS,native_l2,FractionCSP3,16,minimize,0.4,21,1,False,-6.938893903907228e-18,-30.0,0.8490566037735849,-0.0222944055944047
MolecuLA continuous OLS,native_l2,FractionCSP3,16,minimize,0.6,21,1,False,-6.938893903907228e-18,-30.0,0.8490566037735849,-0.0222944055944047
MolecuLA continuous OLS,native_l2,FractionCSP3,17,maximize,0.0,21,19,True,0.2243966079582517,150.0,0.0133333333333333,3.412396206256483
MolecuLA continuous OLS,native_l2,FractionCSP3,17,maximize,0.2,21,1,False,-0.0619047619047619,-15.0,0.3095238095238095,2.355604924510179
MolecuLA continuous OLS,native_l2,FractionCSP3,17,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,17,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,17,minimize,0.0,21,19,True,0.7619047619047619,-150.0,0.054054054054054,2.101854142062807
MolecuLA continuous OLS,native_l2,FractionCSP3,17,minimize,0.2,21,1,True,0.0619047619047619,-15.0,0.3095238095238095,2.355604924510179
MolecuLA continuous OLS,native_l2,FractionCSP3,17,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,17,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,18,maximize,0.0,21,18,True,0.9767441860465116,150.0,0.0192307692307692,2.5712524739120086
MolecuLA continuous OLS,native_l2,FractionCSP3,18,maximize,0.2,21,1,False,0.0,-30.0,0.2682926829268293,1.3594660536950889
MolecuLA continuous OLS,native_l2,FractionCSP3,18,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,18,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,18,minimize,0.0,21,18,False,-0.0,-150.0,0.025,4.0313623151279305
MolecuLA continuous OLS,native_l2,FractionCSP3,18,minimize,0.2,21,1,False,-0.0,-30.0,0.2682926829268293,1.3594660536950889
MolecuLA continuous OLS,native_l2,FractionCSP3,18,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,18,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,19,maximize,0.0,21,18,True,0.9666666666666668,120.0,0.0,3.3275804611316744
MolecuLA continuous OLS,native_l2,FractionCSP3,19,maximize,0.2,21,1,False,0.0,-30.0,0.3150684931506849,1.3151536739380028
MolecuLA continuous OLS,native_l2,FractionCSP3,19,maximize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,19,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,19,minimize,0.0,21,18,False,-0.0,-45.0,0.0786516853932584,3.276849169197586
MolecuLA continuous OLS,native_l2,FractionCSP3,19,minimize,0.2,21,1,False,-0.0,-30.0,0.3150684931506849,1.3151536739380028
MolecuLA continuous OLS,native_l2,FractionCSP3,19,minimize,0.4,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,19,minimize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,20,maximize,0.0,21,20,True,0.75,150.0,0.0684931506849315,2.788958570075865
MolecuLA continuous OLS,native_l2,FractionCSP3,20,maximize,0.2,21,3,True,0.0833333333333333,-15.0,0.4823529411764706,0.1548548130349534
MolecuLA continuous OLS,native_l2,FractionCSP3,20,maximize,0.4,21,2,True,0.0833333333333333,-15.0,0.4823529411764706,0.1548548130349534
MolecuLA continuous OLS,native_l2,FractionCSP3,20,maximize,0.6,21,0,False,,,,
MolecuLA continuous OLS,native_l2,FractionCSP3,20,minimize,0.0,21,20,True,0.1666666666666666,-90.0,0.1452991452991453,2.3891580700877952
MolecuLA continuous OLS,native_l2,FractionCSP3,20,minimize,0.2,21,3,False,-0.0092592592592592,-30.0,0.2252252252252252,2.168423912907385
