method,property,seed_id,seed_row_index,spearman_alpha_property,linear_slope_property_per_alpha,seed_moves_expected_direction,expected_sign_fraction_valid_candidates,valid_fraction,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_seed_similarity,scaffold_retention_fraction,best_increase,best_decrease
ChemSpacE extreme-SVM,HBA,20,440554,0.9171990676467741,0.7448198019801984,True,0.99,1.0,0.99,0.99,0.0441176470588235,0.08333333333333333,146.0,8.0
ChemSpacE extreme-SVM,HBA,21,653586,0.9237766701609396,0.7337940594059408,True,0.98,1.0,0.99,0.99,0.04739442946990115,0.08333333333333333,150.0,4.0
ChemSpacE extreme-SVM,HBA,22,131256,0.9110647657624146,0.7380198019801982,True,0.98,1.0,0.98,0.98,0.0363636363636363,0.2,151.0,3.0
ChemSpacE extreme-SVM,HBA,23,553961,0.9210642088519525,0.7320198019801983,True,0.98,1.0,0.98,0.98,0.0526315789473684,0.42857142857142855,150.0,4.0
ChemSpacE extreme-SVM,HBA,24,705329,0.9214124970793084,0.7227326732673268,True,0.98,1.0,0.98,0.98,0.05,0.375,152.0,2.0
ChemSpacE extreme-SVM,HBA,25,709496,0.917238318423543,0.7379881188118814,True,0.98,1.0,0.98,0.98,0.0327868852459016,0.14285714285714285,150.0,4.0
ChemSpacE extreme-SVM,HBA,26,348626,0.9169995368636156,0.7256277227722774,True,0.97,1.0,0.98,0.98,0.034027376132639245,0.2222222222222222,150.0,4.0
ChemSpacE extreme-SVM,HBA,27,73191,0.9216729084504881,0.7297702970297031,True,0.98,1.0,0.98,0.98,0.0232558139534883,0.2,150.0,4.0
ChemSpacE extreme-SVM,HBA,28,682034,0.9194925503253943,0.7368396039603963,True,0.98,1.0,0.98,0.98,0.0789473684210526,0.5,149.0,5.0
ChemSpacE extreme-SVM,HBA,29,736200,0.9198970931227864,0.7332158415841585,True,0.98,1.0,0.98,0.98,0.0294117647058823,0.2222222222222222,151.0,3.0
ChemSpacE extreme-SVM,HBA,30,501789,0.928072656023529,0.7265181138469129,True,0.9795918367346939,0.98,0.96,0.9795918367346939,0.01963804389680395,0.18181818181818182,152.0,2.0
ChemSpacE extreme-SVM,HBA,31,519962,0.9194305561380414,0.7363564356435646,True,0.97,1.0,0.98,0.98,0.067280758457229,0.2222222222222222,151.0,3.0
ChemSpacE extreme-SVM,HBA,32,584456,0.9110219568478799,0.7412752475247528,True,0.98,1.0,0.98,0.98,0.027027027027027,0.2222222222222222,151.0,3.0
ChemSpacE extreme-SVM,HBA,33,357837,0.922649055847184,0.7325465346534656,True,0.96,1.0,0.97,0.97,0.040833333333333305,0.5714285714285714,152.0,2.0
ChemSpacE extreme-SVM,HBA,34,775000,0.9216501224069412,0.7291920792079208,True,0.98,1.0,0.99,0.99,0.0303030303030303,0.1,148.0,6.0
ChemSpacE extreme-SVM,HBA,35,569940,0.9154506981841815,0.7379643564356437,True,0.98,1.0,0.98,0.98,0.0363636363636363,0.18181818181818182,148.0,6.0
ChemSpacE extreme-SVM,HBA,36,50695,0.9256034166554229,0.7293504950495051,True,0.98,1.0,0.98,0.98,0.0188679245283018,0.2,150.0,4.0
ChemSpacE extreme-SVM,HBA,37,604624,0.9167247745676629,0.735091089108911,True,0.96,1.0,0.98,0.98,0.036038961038960995,0.18181818181818182,150.0,4.0
ChemSpacE extreme-SVM,HBA,38,352240,0.9157586314334105,0.7399544554455448,True,0.97,1.0,0.98,0.98,0.0192307692307692,0.18181818181818182,152.0,2.0
ChemSpacE extreme-SVM,HBA,39,681818,0.923360940801646,0.7216217821782179,True,0.97,1.0,0.98,0.98,0.0256410256410256,0.2,151.0,3.0
ChemSpacE extreme-SVM,HBA,40,433279,0.9119534904188873,0.7345722772277229,True,0.98,1.0,0.98,0.98,0.0506653839987173,0.2,153.0,1.0
ChemSpacE extreme-SVM,HBA,41,180515,0.9237474392972406,0.7315445544554456,True,0.98,1.0,0.98,0.98,0.0196078431372549,0.18181818181818182,151.0,3.0
ChemSpacE extreme-SVM,HBA,42,68271,0.9133309751631121,0.7306257425742576,True,0.98,1.0,0.98,0.98,0.0204081632653061,0.2,151.0,3.0
ChemSpacE extreme-SVM,HBA,43,620859,0.9236727365592625,0.7306237623762377,True,0.97,1.0,0.98,0.98,0.0714285714285714,0.2,150.0,4.0
ChemSpacE extreme-SVM,HBA,44,614795,0.9179968815641084,0.7324376237623763,True,0.98,1.0,0.98,0.98,0.0222222222222222,0.2,151.0,3.0
ChemSpacE extreme-SVM,HBA,45,145013,0.9179707360238716,0.7333702970297032,True,0.98,1.0,0.98,0.98,0.0606162843004948,0.2857142857142857,149.0,5.0
ChemSpacE extreme-SVM,HBA,46,294552,0.9169602871833228,0.7308752475247524,True,0.97,1.0,0.98,0.98,0.0476190476190476,0.25,149.0,5.0
ChemSpacE extreme-SVM,HBA,47,101769,0.9179380545348574,0.7327386138613862,True,0.98,1.0,0.98,0.98,0.0196078431372549,0.2,151.0,3.0
ChemSpacE extreme-SVM,HBA,48,74811,0.9195056018209927,0.7401485148514854,True,0.98,1.0,0.98,0.98,0.0697674418604651,0.18181818181818182,151.0,3.0
ChemSpacE extreme-SVM,HBA,49,657462,0.9172612151473981,0.7362000000000003,True,0.98,1.0,0.98,0.98,0.032258064516129,0.2222222222222222,149.0,5.0
ChemSpacE extreme-SVM,TPSA,0,319669,0.8245471371736892,7.114673148514857,True,0.98,1.0,0.98,0.98,0.0204081632653061,0.2222222222222222,1701.0299999999984,41.99
ChemSpacE extreme-SVM,TPSA,1,407691,0.8259517387233289,7.425802257425746,True,0.98,1.0,0.98,0.98,0.05,0.3333333333333333,1743.9599999999978,47.04
ChemSpacE extreme-SVM,TPSA,2,357774,0.8580340974034806,8.317778712871279,True,0.97,1.0,0.97,0.97,0.074074074074074,0.3,1831.3099999999968,12.89
ChemSpacE extreme-SVM,TPSA,3,70896,0.851096455976551,7.010903366336644,True,0.99,1.0,0.99,0.99,0.0512857977790765,0.16666666666666666,1478.000000000001,58.56
ChemSpacE extreme-SVM,TPSA,4,618350,0.9170687338843281,8.924131009900975,True,0.95,1.0,0.98,0.98,0.0416666666666666,0.2,1803.1999999999964,77.4
ChemSpacE extreme-SVM,TPSA,5,771121,0.8251748896709846,7.545650891089112,True,0.98,1.0,1.0,1.0,0.0422535211267605,0.0,1648.449999999998,117.16
ChemSpacE extreme-SVM,TPSA,6,511472,0.8245082888274576,7.809296772277225,True,0.97,1.0,0.99,0.99,0.03243338008415145,0.09090909090909091,1691.0899999999974,125.11
ChemSpacE extreme-SVM,TPSA,7,556492,0.8434183703714537,7.147933742574263,True,0.97,1.0,0.97,0.97,0.0303030303030303,0.42857142857142855,1699.2799999999977,71.93
ChemSpacE extreme-SVM,TPSA,8,219855,0.8191290533474718,7.422898237623766,True,0.98,1.0,0.98,0.98,0.0612244897959183,0.2222222222222222,1699.2299999999982,49.77
ChemSpacE extreme-SVM,TPSA,9,354054,0.8579539303569709,8.43411883168316,True,0.98,1.0,0.98,0.98,0.1162790697674418,0.4,1795.589999999997,57.010000000000005
ChemSpacE extreme-SVM,TPSA,10,281634,0.8266867697967266,8.065655326732669,True,0.98,1.0,0.98,0.98,0.0394736842105263,0.25,1742.489999999997,96.11
ChemSpacE extreme-SVM,TPSA,11,538540,0.9329553127460082,8.832000158415829,True,0.97,1.0,0.98,0.98,0.075,0.25,1834.4299999999964,46.17
ChemSpacE extreme-SVM,TPSA,12,343969,0.8116606272641674,7.928298574257424,True,0.98,1.0,0.98,0.98,0.04138127853881275,0.2857142857142857,1700.489999999998,82.11
ChemSpacE extreme-SVM,TPSA,13,53955,0.8550675398291184,6.918218930693079,True,0.98,1.0,0.98,0.98,0.0238095238095238,0.4444444444444444,1457.230000000001,77.76
ChemSpacE extreme-SVM,TPSA,14,624425,0.8451846214722081,8.40433178217821,True,0.96,1.0,0.98,0.98,0.0126582278481012,0.3333333333333333,1772.649999999997,65.95
