property,alpha,latent_displacement,paired_seeds,raw_valid_fraction,chemspace_valid_fraction,raw_median_expected_improvement,chemspace_median_expected_improvement,median_improvement_difference_chemspace_minus_raw,raw_median_seed_similarity,chemspace_median_seed_similarity
FractionCSP3,-86.36363636363637,86.36363636363637,50,1.0,1.0,0.17290209790209787,0.2857142857142857,0.11437908496732029,0.06451612903225806,0.0
FractionCSP3,-83.33333333333333,83.33333333333333,50,1.0,1.0,0.17634615384615385,0.2857142857142857,0.11324786324786325,0.06667852062588905,0.0
FractionCSP3,-80.3030303030303,80.3030303030303,50,1.0,1.0,0.18114774114774115,0.2857142857142857,0.10526315789473684,0.06944444444444445,0.0
FractionCSP3,-77.27272727272728,77.27272727272728,50,1.0,1.0,0.18963675213675216,0.2857142857142857,0.12132352941176472,0.07362240289069558,0.0
FractionCSP3,-74.24242424242425,74.24242424242425,50,1.0,1.0,0.17719780219780218,0.2857142857142857,0.11651583710407239,0.08554006968641115,0.0
FractionCSP3,-71.21212121212122,71.21212121212122,50,1.0,1.0,0.20343137254901955,0.2857142857142857,0.10025062656641603,0.07929669306008383,0.0
FractionCSP3,-68.18181818181819,68.18181818181819,50,1.0,1.0,0.1920995670995671,0.2857142857142857,0.11929824561403507,0.08695855115758028,0.0
FractionCSP3,-65.15151515151516,65.15151515151516,50,1.0,1.0,0.17131410256410254,0.2857142857142857,0.12771739130434784,0.09359605911330049,0.0
FractionCSP3,-62.121212121212125,62.121212121212125,50,1.0,1.0,0.17131410256410254,0.2857142857142857,0.125,0.09555223632893536,0.0
FractionCSP3,-59.09090909090909,59.09090909090909,50,1.0,1.0,0.12959299959299955,0.2857142857142857,0.12771739130434784,0.10113796189745557,0.0
FractionCSP3,-56.06060606060606,56.06060606060606,50,1.0,1.0,0.15952380952380948,0.2857142857142857,0.11555555555555555,0.1,0.0
FractionCSP3,-53.03030303030303,53.03030303030303,50,1.0,1.0,0.15238095238095237,0.2857142857142857,0.13333333333333333,0.10258838383838384,0.0
