method,property,alpha,latent_displacement,requested_candidates,valid_count,valid_fraction,changed_from_seed_count,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_property,median_property_delta,median_expected_signed_improvement,expected_sign_fraction_valid,median_seed_similarity,q25_seed_similarity,q75_seed_similarity,scaffold_evaluable_count,scaffold_retention_fraction
MolecuLA raw OLS (seed-excluded),FractionCSP3,-22.727272727272734,22.727272727272734,50,50,1.0,20,0.4,0.4,0.2792207792207792,0.0,0.0,0.3,1.0,0.36197663096397276,1.0,50,0.6
MolecuLA raw OLS (seed-excluded),FractionCSP3,-19.69696969696969,19.69696969696969,50,50,1.0,12,0.24,0.24,0.2928571428571428,0.0,0.0,0.12,1.0,1.0,1.0,50,0.78
MolecuLA raw OLS (seed-excluded),FractionCSP3,-16.666666666666657,16.666666666666657,50,50,1.0,6,0.12,0.12,0.2928571428571428,0.0,0.0,0.08,1.0,1.0,1.0,50,0.88
MolecuLA raw OLS (seed-excluded),FractionCSP3,-13.636363636363626,13.636363636363626,50,50,1.0,4,0.08,0.08,0.2928571428571428,0.0,0.0,0.02,1.0,1.0,1.0,50,0.92
MolecuLA raw OLS (seed-excluded),FractionCSP3,-10.606060606060595,10.606060606060595,50,50,1.0,2,0.04,0.04,0.2857142857142857,0.0,0.0,0.02,1.0,1.0,1.0,50,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,-7.575757575757564,7.575757575757564,50,50,1.0,2,0.04,0.04,0.2857142857142857,0.0,0.0,0.02,1.0,1.0,1.0,50,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,-4.545454545454561,4.545454545454561,50,50,1.0,2,0.04,0.04,0.2857142857142857,0.0,0.0,0.02,1.0,1.0,1.0,50,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,-1.5151515151515298,1.5151515151515298,50,50,1.0,2,0.04,0.04,0.2857142857142857,0.0,0.0,0.0,1.0,1.0,1.0,50,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,1.5151515151515014,1.5151515151515014,50,50,1.0,2,0.04,0.04,0.2857142857142857,0.0,0.0,0.42,1.0,1.0,1.0,50,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,4.5454545454545325,4.5454545454545325,50,50,1.0,3,0.06,0.06,0.2857142857142857,0.0,0.0,0.42,1.0,1.0,1.0,50,0.94
MolecuLA raw OLS (seed-excluded),FractionCSP3,7.575757575757564,7.575757575757564,50,50,1.0,3,0.06,0.06,0.2857142857142857,0.0,0.0,0.42,1.0,1.0,1.0,50,0.94
MolecuLA raw OLS (seed-excluded),FractionCSP3,10.606060606060595,10.606060606060595,50,50,1.0,3,0.06,0.06,0.2857142857142857,0.0,0.0,0.42,1.0,1.0,1.0,50,0.94
MolecuLA raw OLS (seed-excluded),FractionCSP3,13.636363636363626,13.636363636363626,50,50,1.0,7,0.14,0.14,0.3038461538461539,0.0,0.0,0.48,1.0,1.0,1.0,50,0.86
MolecuLA raw OLS (seed-excluded),FractionCSP3,16.666666666666657,16.666666666666657,50,50,1.0,12,0.24,0.24,0.3038461538461539,2.7755575615628914e-17,2.7755575615628914e-17,0.54,1.0,1.0,1.0,50,0.78
MolecuLA raw OLS (seed-excluded),FractionCSP3,19.69696969696969,19.69696969696969,50,50,1.0,21,0.42,0.42,0.3138461538461539,5.551115123125783e-17,5.551115123125783e-17,0.64,1.0,0.4533333333333333,1.0,50,0.6
