property,direction_type,direction_target,seed_id,response,spearman_rho,linear_slope_per_alpha,expected_sign_fraction,validity,valid_count,decode_count,seed_value
BertzCT,raw_property,BertzCT,49,raw_property,0.8451878526306502,4.976107276809383,0.72,1.0,100,100,825.2176249705379
BertzCT,raw_property,BertzCT,49,diagnostic_residual,-0.9529519225906568,-9.95204004219368,0.15,1.0,100,100,48.54519931573668
BertzCT,residual_property,BertzCT_residual,0,raw_property,0.30159146019661887,1.126548296481025,0.5,1.0,100,100,1057.4394771552415
BertzCT,residual_property,BertzCT_residual,0,diagnostic_residual,0.47874712690333837,1.6166823752469126,0.5,1.0,100,100,168.55988952877703
BertzCT,residual_property,BertzCT_residual,1,raw_property,0.866123730809292,2.5144545512094236,0.74,1.0,100,100,465.6519131322054
BertzCT,residual_property,BertzCT_residual,1,diagnostic_residual,0.8826261424927826,3.3637398807542263,0.82,1.0,100,100,-41.22833370759321
BertzCT,residual_property,BertzCT_residual,2,raw_property,0.240817779607885,0.8414145039949589,0.36,1.0,100,100,188.9847279786199
BertzCT,residual_property,BertzCT_residual,2,diagnostic_residual,0.9008357826478125,1.9850914623461757,0.66,1.0,100,100,8.094438338141856
BertzCT,residual_property,BertzCT_residual,3,raw_property,-0.2727688872345111,-0.3914496815147891,0.49,1.0,100,100,570.5608031804463
BertzCT,residual_property,BertzCT_residual,3,diagnostic_residual,0.1624972324313696,0.25768961607309393,0.54,1.0,100,100,-155.38378741097938
BertzCT,residual_property,BertzCT_residual,4,raw_property,0.022003726334546312,0.04241728089161555,0.47,1.0,100,100,790.8786094157111
BertzCT,residual_property,BertzCT_residual,4,diagnostic_residual,0.2526905344552798,1.0397624388093296,0.61,1.0,100,100,55.439052657659886
BertzCT,residual_property,BertzCT_residual,5,raw_property,0.128400522732368,0.5840564520246272,0.53,1.0,100,100,1135.404562334442
BertzCT,residual_property,BertzCT_residual,5,diagnostic_residual,0.24916616859131893,3.9593960765210183,0.62,1.0,100,100,-20.426030924443012
BertzCT,residual_property,BertzCT_residual,6,raw_property,0.9126146007151416,3.6584310262729125,0.77,1.0,100,100,1047.085601071834
BertzCT,residual_property,BertzCT_residual,6,diagnostic_residual,0.9497120796520235,4.376188930509492,0.78,1.0,100,100,17.31368541338088
BertzCT,residual_property,BertzCT_residual,7,raw_property,0.03222702756394766,0.3088978396138681,0.39,1.0,100,100,289.3968869531214
BertzCT,residual_property,BertzCT_residual,7,diagnostic_residual,0.5155546782452826,1.400270809550932,0.6,1.0,100,100,-10.347390972443975
BertzCT,residual_property,BertzCT_residual,8,raw_property,0.5963722154487088,2.0077984665864843,0.53,1.0,100,100,535.9059719507594
BertzCT,residual_property,BertzCT_residual,8,diagnostic_residual,0.9381998105498957,3.103227414328849,0.73,1.0,100,100,-247.6568672185772
BertzCT,residual_property,BertzCT_residual,9,raw_property,0.12012588665529593,0.36287426159716163,0.36,1.0,100,100,252.75695604655328
