property,direction_type,direction_target,alpha,response,decode_count,valid_count,validity,median_value,q25_value,q75_value,median_change_from_seed,q25_change_from_seed,q75_change_from_seed,expected_sign_fraction
BertzCT,raw_property,BertzCT,-74.24242424242425,diagnostic_residual,50,50,1.0,199.31866377837028,140.4171665714851,286.32880738497056,254.65400322519523,125.00570232913162,326.3992116960014,0.12
BertzCT,raw_property,BertzCT,-71.21212121212122,raw_property,50,50,1.0,14.0,2.0,33.92552515772472,-713.2535605285822,-853.122099402599,-473.98126837203125,1.0
BertzCT,raw_property,BertzCT,-71.21212121212122,diagnostic_residual,50,50,1.0,194.9073793724762,127.07341262124704,280.3182543890291,221.15320539713684,61.89233002510733,294.3809916073501,0.14
BertzCT,raw_property,BertzCT,-68.18181818181819,raw_property,50,50,1.0,20.219280948873624,4.754887502163469,46.293987519471216,-709.2870232216442,-825.0290896992196,-477.65552614482965,1.0
BertzCT,raw_property,BertzCT,-68.18181818181819,diagnostic_residual,50,50,1.0,181.3602813582516,117.2837985074456,254.6433967040139,196.32678474168114,42.67740997086382,286.4795747497815,0.18
BertzCT,raw_property,BertzCT,-65.15151515151516,raw_property,50,50,1.0,27.161259458730164,9.132331253245201,70.10749561002055,-703.1505977902827,-823.9776729781692,-452.03993375787087,1.0
BertzCT,raw_property,BertzCT,-65.15151515151516,diagnostic_residual,50,50,1.0,172.21826113522138,49.978941464411236,197.1870212782321,153.21588720568718,6.180212191698023,262.9383465201421,0.24
BertzCT,raw_property,BertzCT,-62.121212121212125,raw_property,50,50,1.0,41.0,14.0,94.67907910451318,-667.3630942393881,-806.2415882772525,-407.94966196996006,1.0
BertzCT,raw_property,BertzCT,-62.121212121212125,diagnostic_residual,50,50,1.0,133.22075401272713,13.78667519850363,185.75157016615407,131.15314732973007,-1.3050978877771797,213.4421809836092,0.28
BertzCT,raw_property,BertzCT,-59.09090909090909,raw_property,50,50,1.0,45.52932501298081,15.219280948873624,113.15148445440323,-659.3081203239196,-813.7958042275186,-419.8417139741665,1.0
BertzCT,raw_property,BertzCT,-59.09090909090909,diagnostic_residual,50,50,1.0,117.14394790778657,-21.38959016965324,177.87862908742142,120.30078818372189,-0.5516267658183764,200.57632543909799,0.26
BertzCT,raw_property,BertzCT,-56.06060606060606,raw_property,50,50,1.0,65.23883095752751,25.519550008653876,130.97373660251156,-600.6858360201005,-803.3482751666779,-393.35681644309454,1.0
BertzCT,raw_property,BertzCT,-56.06060606060606,diagnostic_residual,50,50,1.0,68.01842906881139,-32.405412750120156,166.89452554888425,84.56891909563487,-32.669390885971595,189.07765878400386,0.34
BertzCT,raw_property,BertzCT,-53.03030303030303,raw_property,50,50,1.0,87.90221923697459,40.5,166.713310195245,-613.5258011261005,-778.8589441065909,-373.5224872645579,1.0
BertzCT,raw_property,BertzCT,-53.03030303030303,diagnostic_residual,50,50,1.0,17.33487794307598,-43.121309674707206,127.5500282655696,43.731199933651766,-86.96461570774332,148.78151149025604,0.44
BertzCT,raw_property,BertzCT,-50.0,raw_property,50,50,1.0,112.60335893412778,45.76466250649041,203.70075628353382,-560.2733998757815,-732.1099137411848,-364.6078032259376,1.0
BertzCT,raw_property,BertzCT,-50.0,diagnostic_residual,50,50,1.0,7.176214771990757,-56.70433665959426,94.80233177273655,1.1907226087190281,-94.35926284038875,117.72267191293741,0.5
BertzCT,raw_property,BertzCT,-46.96969696969697,raw_property,50,50,1.0,122.7319807990923,63.33869642763737,221.19280948873617,-535.2634684326149,-736.0818939822989,-353.09537287225487,1.0
BertzCT,raw_property,BertzCT,-46.96969696969697,diagnostic_residual,50,50,1.0,2.6988003640362592,-89.65435692485825,63.832777886380654,9.575058048733865,-107.72043553316053,102.33236259904962,0.46
BertzCT,raw_property,BertzCT,-43.93939393939394,raw_property,50,50,1.0,144.76927278138976,71.09039671184235,259.1130457111898,-539.6841531994223,-682.7432165758248,-336.44502532610875,1.0
BertzCT,raw_property,BertzCT,-43.93939393939394,diagnostic_residual,50,50,1.0,-13.533797128328672,-103.7802076174147,43.20547702717248,7.260101735378456,-120.86895270685937,68.24366663340719,0.48
BertzCT,raw_property,BertzCT,-40.90909090909091,raw_property,50,50,1.0,200.20390035438868,100.75613283027359,272.75080123173313,-468.1437151762429,-626.3270986295829,-331.3534044762164,1.0
BertzCT,raw_property,BertzCT,-40.90909090909091,diagnostic_residual,50,50,1.0,-27.70208132048451,-94.96893789228638,44.12430284613624,-14.99879550453305,-129.1614414934699,71.2755345306872,0.52
BertzCT,raw_property,BertzCT,-37.87878787878788,raw_property,50,50,1.0,183.2149912200411,129.75962746486448,299.3918635581152,-481.1159536031197,-615.398589837001,-331.948868004678,1.0
BertzCT,raw_property,BertzCT,-37.87878787878788,diagnostic_residual,50,50,1.0,-27.267882277521892,-96.01997002405759,34.00237958871059,-34.5610531348226,-158.66368560304443,69.64774577464613,0.58
BertzCT,raw_property,BertzCT,-34.848484848484844,raw_property,50,50,1.0,214.61301701612808,151.92124551085627,344.92862787009483,-450.38383227982854,-596.7260707633055,-300.5728848819341,1.0
