method,scale,property,seed_id,confound,spearman_alpha_confound,spearman_abs_alpha_confound,slope_confound_per_alpha,slope_confound_per_abs_alpha
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,31,token_entropy,-0.3650069099236221,-0.5457151625899282,-0.03389956855625529,-0.06659345531859241
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,32,selfies_len_tokens,0.406940596832817,0.5673150002861089,0.7272727272727355,1.9656019656018853
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,32,branch_token_count,-0.4767312946227962,0.636261763761479,-0.389610389610389,1.076167076167067
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,32,ring_token_count,0.20026720118795727,0.280647572947476,0.12987012987013052,0.36363636363635815
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,32,token_entropy,-0.47278104876240695,0.5382627558377129,-0.009565373662322216,0.09723426904329135
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,33,selfies_len_tokens,-0.5183428697490003,0.47838782610613984,-6.558441558441556,6.916461916461877
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,33,branch_token_count,-0.6533053041395294,0.22117561613261277,-1.5454545454545445,1.240786240786228
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,33,ring_token_count,-0.7309879850882874,0.310177609833721,-0.597402597402596,0.5601965601965547
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,33,token_entropy,-0.7855945262078519,-0.00033263994732278025,-0.06094449511414966,0.03629902629781598
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,34,selfies_len_tokens,-0.27695585470349865,0.37887554928730277,-0.3896103896103845,1.1547911547910923
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,34,branch_token_count,-0.27695585470349865,0.37887554928730277,-0.19480519480519418,0.5773955773955679
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,34,ring_token_count,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,34,token_entropy,0.2849014411490948,0.5646551103319111,0.0005655015976817749,0.02524147800636784
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,35,selfies_len_tokens,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,35,branch_token_count,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,35,ring_token_count,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,35,token_entropy,,,0.0,0.0
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,36,selfies_len_tokens,0.10013360059397863,0.09020814844740302,0.06493506493507006,0.1007371007370632
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,36,branch_token_count,0.1624920660107855,0.6693696498420683,0.16883116883116975,1.1719901719901595
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,36,ring_token_count,-0.5648643739303969,-0.2816501757844374,-0.8051948051948037,-0.8108108108108246
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,36,token_entropy,-0.975044712325938,-0.0476095522455739,-0.06294851891207871,-0.01684454770602181
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,37,selfies_len_tokens,-0.8660254037844386,0.023641913712491223,-2.1428571428571406,0.40540540540535996
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,37,branch_token_count,-0.9279218507174842,-0.09351312489765944,-1.3766233766233753,-0.16707616707617862
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,37,ring_token_count,-0.8660254037844386,0.023641913712491223,-0.7142857142857131,0.13513513513512915
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,37,token_entropy,-0.6080689921050603,-0.5962122265582571,-0.03267661829125955,-0.0567498670185167
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,38,selfies_len_tokens,-0.2860461793377445,0.4253680181159637,-0.7532467532467497,1.6904176904176171
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,38,branch_token_count,-0.8300382387798271,-0.2262751338283274,-0.8831168831168822,-0.07862407862408946
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,38,ring_token_count,-0.7101216285065026,0.16451848547527714,-0.6623376623376613,0.4692874692874617
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,38,token_entropy,-0.7918145135233425,0.03316263138417329,-0.06141080387599642,0.06977882757618241
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,39,selfies_len_tokens,-0.7943418090908457,0.3579190789256291,-2.9610389610389576,2.8452088452088122
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,39,branch_token_count,0.6208283236826676,-0.3808788490001461,0.40259740259740345,-0.5184275184275219
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,39,ring_token_count,-0.7943418090908457,0.3579190789256291,-1.4545454545454548,1.4545454545454537
ChemSpacE released-ZINC protocol,native_l2,FractionCSP3,39,token_entropy,0.18609684207969415,-0.20024924828831367,-0.008006401081830981,-0.005222388631308336
