method,scale,property,alpha,requested_candidates,valid_fraction,unique_canonical_fraction_total,changed_from_seed_fraction_all,median_property,median_property_delta,median_sa_score,median_sa_score_delta,median_np_likeness_score,median_np_likeness_delta,fraction_at_decoder_token_budget,expected_sign_fraction_valid,median_seed_similarity,q25_seed_similarity,q75_seed_similarity,scaffold_retention_fraction
ChemSpacE released-ZINC protocol,native_l2,cLogP,0.5,200,1.0,1.0,0.64,3.0902000000000007,0.0,5.436928719955164,0.0,0.8021016161675776,0.0,0.0,0.4,0.41751227495908344,0.16025534045393858,1.0,0.37575757575757573
ChemSpacE released-ZINC protocol,native_l2,cLogP,0.6000000000000001,200,1.0,1.0,0.715,3.254385000000002,0.0,5.530594906990597,0.0,0.7969077014102929,0.0,0.0,0.44,0.322884012539185,0.15863256271519918,1.0,0.3212121212121212
ChemSpacE released-ZINC protocol,native_l2,cLogP,0.7000000000000002,200,1.0,1.0,0.755,3.2636350000000007,0.0,5.49489755480424,0.0,0.8123692841887988,0.0,0.0,0.455,0.2984734563681932,0.1437651331719128,0.8632183908045976,0.2865853658536585
ChemSpacE released-ZINC protocol,native_l2,cLogP,0.8,200,1.0,1.0,0.785,3.235600000000002,0.0,5.499108065360797,0.0,0.7969077014102929,0.0,0.0,0.455,0.25537190082644623,0.13377976190476187,0.7158818493150685,0.25766871165644173
ChemSpacE released-ZINC protocol,native_l2,cLogP,0.9000000000000001,200,1.0,1.0,0.825,3.178450000000002,0.0,5.504571104901568,0.0,0.7900317419217496,0.0,0.0,0.485,0.22426470588235295,0.13008415147265073,0.554745085995086,0.22085889570552147
ChemSpacE released-ZINC protocol,native_l2,cLogP,1.0,200,1.0,1.0,0.855,3.1540000000000017,0.0,5.5253713644876985,0.0,0.785562545950865,0.0,0.0,0.495,0.21039570757880616,0.12814845704753955,0.44626532887402454,0.1951219512195122
ChemSpacE released-ZINC protocol,native_l2,BertzCT,-1.0,200,1.0,1.0,0.885,621.4237512704517,0.0,5.398524759640082,0.0,0.7876534813247912,0.0,0.0,0.49,0.18686868686868685,0.1232713100326879,0.3386548913043478,0.13043478260869565
ChemSpacE released-ZINC protocol,native_l2,BertzCT,-0.9,200,1.0,1.0,0.855,629.9317189404527,0.0,5.4512955224189765,0.026434138382976702,0.8329408965400582,0.0,0.0,0.45,0.2040922852072241,0.13173194614443082,0.4176522506619594,0.16875
ChemSpacE released-ZINC protocol,native_l2,BertzCT,-0.8,200,1.0,1.0,0.825,645.5257954347982,0.0,5.455027727380735,0.0,0.8289557050475642,0.0,0.0,0.425,0.20867919033056645,0.13296703296703294,0.4806427749465724,0.1951219512195122
ChemSpacE released-ZINC protocol,native_l2,BertzCT,-0.7,200,1.0,1.0,0.78,651.525795434798,0.0,5.472226215311196,0.0,0.813328481827178,0.0,0.0,0.415,0.22464953271028035,0.14047388781431328,0.5495018679950187,0.22289156626506024
ChemSpacE released-ZINC protocol,native_l2,BertzCT,-0.6,200,1.0,1.0,0.725,650.525795434798,0.0,5.472226215311196,0.0,0.7862328603812678,0.0,0.0,0.4,0.27657916816492867,0.15111661102797277,1.0,0.29518072289156627
ChemSpacE released-ZINC protocol,native_l2,BertzCT,-0.5,200,1.0,1.0,0.675,667.0719839708588,0.0,5.500277485426736,0.0,0.792959569627343,0.0,0.0,0.335,0.42430316914852995,0.16738900284523256,1.0,0.3532934131736527
ChemSpacE released-ZINC protocol,native_l2,BertzCT,-0.3999999999999999,200,1.0,1.0,0.62,667.0719839708588,0.0,5.456776278634333,0.0,0.7953486757031628,0.0,0.0,0.31,0.4847041847041847,0.16826165960024225,1.0,0.40963855421686746
ChemSpacE released-ZINC protocol,native_l2,BertzCT,-0.2999999999999999,200,1.0,1.0,0.51,669.8268714730223,0.0,5.440135176641684,0.0,0.8095940119249718,0.0,0.0,0.25,0.7546004842615013,0.20058874521418768,1.0,0.5212121212121212
ChemSpacE released-ZINC protocol,native_l2,BertzCT,-0.1999999999999999,200,1.0,1.0,0.425,661.3969923225337,0.0,5.409508754513033,0.0,0.8106048467647559,0.0,0.0,0.2,1.0,0.24793956043956042,1.0,0.6107784431137725
ChemSpacE released-ZINC protocol,native_l2,BertzCT,-0.0999999999999999,200,1.0,1.0,0.23,665.7344881466963,0.0,5.384779412125382,0.0,0.7734604806282432,0.0,0.0,0.095,1.0,1.0,1.0,0.7894736842105263
ChemSpacE released-ZINC protocol,native_l2,BertzCT,0.0,200,1.0,1.0,0.0,651.8388376297477,0.0,5.410964407320817,0.0,0.7557398351622628,0.0,0.0,,1.0,1.0,1.0,1.0
ChemSpacE released-ZINC protocol,native_l2,BertzCT,0.1,200,1.0,1.0,0.21,644.5257954347982,0.0,5.410964407320817,0.0,0.7422102192712023,0.0,0.0,0.095,1.0,1.0,1.0,0.8092485549132948
ChemSpacE released-ZINC protocol,native_l2,BertzCT,0.2000000000000001,200,1.0,1.0,0.35,643.5257954347982,0.0,5.376848124149971,0.0,0.7648720877077637,0.0,0.0,0.145,1.0,0.4587273191924354,1.0,0.6608187134502924
ChemSpacE released-ZINC protocol,native_l2,BertzCT,0.3,200,1.0,1.0,0.48,643.5257954347982,0.0,5.423040635254698,0.0,0.7544255802053697,0.0,0.0,0.235,1.0,0.24498834498834493,1.0,0.5294117647058824
ChemSpacE released-ZINC protocol,native_l2,BertzCT,0.4000000000000001,200,1.0,1.0,0.56,646.5257954347982,0.0,5.443827719063405,0.0,0.743689251300095,0.0,0.0,0.3,0.5497542997542997,0.20277777777777778,1.0,0.4378698224852071
ChemSpacE released-ZINC protocol,native_l2,BertzCT,0.5,200,1.0,1.0,0.61,664.3570443956145,0.0,5.42076231622483,0.0,0.7603408766149664,0.0,0.0,0.33,0.3571428571428571,0.16202566202566196,1.0,0.3939393939393939
ChemSpacE released-ZINC protocol,native_l2,BertzCT,0.6000000000000001,200,1.0,1.0,0.655,631.6866064426163,0.0,5.417167197821428,0.0,0.7687241025074699,0.0,0.0,0.34,0.34818528456432707,0.1590378079864061,1.0,0.3575757575757576
