direction_name,direction_kind,alpha,valid_count,median_clogp,q25_clogp,q75_clogp,median_fixed_graph_size_residual,q25_fixed_graph_size_residual,q75_fixed_graph_size_residual,median_fixed_graph_size_residual_change_from_seed
raw::cLogP,raw_property,-59.09090909090909,50,-0.30370000000000014,-0.9640749999999998,1.02592,-0.8161475302846746,-1.401029135666874,-0.42740878115004827,-0.8949208984840545
raw::cLogP,raw_property,-56.06060606060606,50,-0.38625,-0.883674999999999,1.065875,-0.8188935047678199,-1.3346619064886163,-0.3717838787582518,-0.9106399363815145
raw::cLogP,raw_property,-53.03030303030303,50,0.23633999999999988,-0.6435,1.038325,-0.7493164801845424,-1.2990067191854222,-0.2750981415110622,-0.9418961152302336
raw::cLogP,raw_property,-50.0,50,0.3244849999999998,-0.3885000000000002,1.2487874999999997,-0.9179232928099403,-1.2910894224474845,-0.16698622858480072,-0.8935192553439113
raw::cLogP,raw_property,-46.96969696969697,50,0.39335,-0.1927249999999999,1.43725,-0.7532367153386352,-1.356748017402066,-0.080796040487217,-0.8131611550428773
raw::cLogP,raw_property,-43.93939393939394,50,0.9327599999999999,0.06174249999999995,1.731625,-0.6937057785062124,-1.0752461735057133,0.013087273072044436,-0.7868809058768966
raw::cLogP,raw_property,-40.90909090909091,50,1.538735,0.6508250000000001,2.15844,-0.6796717080503365,-1.0752709266380298,0.04105761593618412,-0.6030928044176437
raw::cLogP,raw_property,-37.87878787878788,50,1.4591999999999996,0.72765,2.6941775000000012,-0.6577571645854722,-1.152978148706726,0.17096989618703273,-0.6765737747706952
raw::cLogP,raw_property,-34.848484848484844,50,2.10311,1.2542875,2.898265000000001,-0.40555342295600916,-0.9905738270471421,0.2255335481988478,-0.4797970504964797
raw::cLogP,raw_property,-31.818181818181813,50,2.724500000000001,1.5222200000000001,3.342880000000002,-0.2189738646215878,-0.5271350561848466,0.37201224069685734,-0.08786655813633781
raw::cLogP,raw_property,-28.787878787878785,50,2.881460000000001,1.63955,3.8203500000000017,-0.028179623197788217,-0.520872300242237,0.4512991735471541,0.0
raw::cLogP,raw_property,-25.757575757575765,50,2.9818100000000016,1.932825,4.165625000000003,0.049344359597023324,-0.3399386593953891,0.4338089269133355,0.0
raw::cLogP,raw_property,-22.727272727272734,50,3.1678400000000013,2.176525,4.277625000000004,0.13549777133547147,-0.2814173017480952,0.5181794543268439,0.0
raw::cLogP,raw_property,-19.69696969696969,50,3.1586500000000006,2.176525,4.277625000000004,0.13549777133547147,-0.2989069351589302,0.5747129813166891,0.0
raw::cLogP,raw_property,-16.666666666666657,50,3.115740000000002,2.298575,4.299875000000003,0.13549777133547147,-0.2989069351589302,0.5906080034898884,0.0
raw::cLogP,raw_property,-13.636363636363626,50,3.115740000000002,2.3599250000000005,4.299875000000003,0.13549777133547147,-0.2989069351589302,0.5736028282612629,0.0
raw::cLogP,raw_property,-10.606060606060597,50,3.115740000000002,2.29035,4.470600000000003,0.13549777133547147,-0.2989069351589302,0.5736028282612629,0.0
raw::cLogP,raw_property,-7.575757575757564,50,3.115740000000002,2.3599250000000005,4.470600000000003,0.13549777133547147,-0.2989069351589302,0.5736028282612629,0.0
raw::cLogP,raw_property,-4.545454545454561,50,3.115740000000002,2.3599250000000005,4.505040000000004,0.13549777133547147,-0.2989069351589302,0.5736028282612629,0.0
raw::cLogP,raw_property,-1.5151515151515298,50,3.115740000000002,2.3599250000000005,4.505040000000004,0.13549777133547147,-0.2989069351589302,0.5736028282612629,0.0
raw::cLogP,raw_property,1.5151515151515014,50,3.115740000000002,2.3599250000000005,4.505040000000004,0.13549777133547147,-0.2989069351589302,0.5736028282612629,0.0
raw::cLogP,raw_property,4.5454545454545325,50,3.2390400000000015,2.3599250000000005,4.401600000000003,0.13549777133547147,-0.27662107084902865,0.5736028282612629,0.0
